,User-ID,ISBN,Book-Rating,gender,country,birthyear
0,276847,0,10,female,UK,1950-2000
1,276847,1,10,female,UK,1950-2000
2,276847,2,10,female,UK,1950-2000
3,276847,3,10,female,UK,1950-2000
4,276964,4,10,male,USA,1900-1950
5,276964,5,9,male,USA,1950-2000
6,276964,6,8,male,USA,1900-1950
7,276964,7,10,male,USA,1900-1950
8,276964,8,8,male,USA,1900-1950
9,276964,9,7,male,USA,1950-2000
10,276964,10,8,male,USA,1950-2000
11,276964,11,8,female,USA,1950-2000
12,276964,12,9,female,USA,1950-2000
13,276964,13,10,female,USA,1950-2000
14,277042,14,8,male,USA,1950-2000
15,277042,15,7,male,USA,1900-1950
16,277042,16,8,male,USA,1900-1950
17,277042,17,9,unknown,unknown,unknown
18,277042,18,8,male,USA,1900-1950
19,277042,19,2,male,USA,1900-1950
20,277157,20,5,male,USA,1900-1950
21,277157,21,5,male,USA,1950-2000
22,277157,22,6,male,USA,1900-1950
23,277157,23,7,male,USA,1900-1950
24,277157,24,7,male,USA,1900-1950
25,277157,25,7,male,USA,1900-1950
26,277157,26,6,male,USA,1900-1950
27,277157,27,8,male,USA,1900-1950
28,277157,28,7,male,USA,1900-1950
29,277157,29,5,female,USA,1950-2000
30,277157,30,7,male,USA,1950-2000
31,277157,31,6,male,USA,1900-1950
32,277157,32,7,female,USA,1900-1950
33,277157,33,7,male,USA,1950-2000
34,277195,34,10,male,USA,1950-2000
35,277195,35,10,female,UK,1950-2000
36,277195,36,10,male,USA,1900-1950
37,277195,37,10,female,USA,1900-1950
38,277195,38,10,female,USA,1950-2000
39,277195,39,10,female,USA,1950-2000
40,277195,40,10,male,USA,1950-2000
41,277195,41,10,female,USA,1900-1950
42,277195,42,10,female,USA,1950-2000
43,277203,43,9,unknown,unknown,unknown
44,277203,44,9,unknown,unknown,unknown
45,277203,45,9,male,USA,1900-1950
46,277203,46,8,unknown,unknown,unknown
47,277203,47,8,male,USA,1900-1950
48,277203,48,8,male,USA,1900-1950
49,277378,49,7,female,USA,1950-2000
