,User-ID,ISBN,Book-Rating,gender,country,birthyear
0,276847,0,8,unknown,unknown,unknown
1,276847,1,10,female,UK,1950-2000
2,276847,2,10,female,UK,1950-2000
3,276847,3,10,female,UK,1950-2000
4,276847,4,10,female,UK,1950-2000
5,276964,5,10,male,USA,1900-1950
6,276964,6,9,male,USA,1950-2000
7,276964,7,8,male,USA,1900-1950
8,276964,8,10,male,USA,1900-1950
9,276964,9,8,male,USA,1900-1950
10,276964,10,7,male,USA,1950-2000
11,276964,11,8,male,USA,1950-2000
12,276964,12,8,female,USA,1950-2000
13,276964,13,9,female,USA,1950-2000
14,276964,14,10,female,USA,1950-2000
15,277042,15,8,male,USA,1950-2000
16,277042,16,7,male,USA,1900-1950
17,277042,17,8,male,USA,1900-1950
18,277042,18,9,unknown,unknown,unknown
19,277042,19,8,male,USA,1900-1950
20,277042,20,2,male,USA,1900-1950
21,277157,21,5,male,USA,1900-1950
22,277157,22,5,male,USA,1950-2000
23,277157,23,6,male,USA,1900-1950
24,277157,24,7,male,USA,1900-1950
25,277157,25,7,male,USA,1900-1950
26,277157,26,7,male,USA,1900-1950
27,277157,27,6,male,USA,1900-1950
28,277157,28,8,male,USA,1900-1950
29,277157,29,7,male,USA,1900-1950
30,277157,30,5,female,USA,1950-2000
31,277157,31,7,male,USA,1950-2000
32,277157,32,6,male,USA,1900-1950
33,277157,33,7,female,USA,1900-1950
34,277157,34,7,male,USA,1950-2000
35,277195,35,10,male,USA,1950-2000
36,277195,36,10,female,UK,1950-2000
37,277195,37,10,male,USA,1900-1950
38,277195,38,10,female,USA,1900-1950
39,277195,39,10,female,USA,1950-2000
40,277195,40,10,female,USA,1950-2000
41,277195,41,10,male,USA,1950-2000
42,277195,42,10,female,USA,1900-1950
43,277195,43,10,female,USA,1950-2000
44,277203,44,9,unknown,unknown,unknown
45,277203,45,9,unknown,unknown,unknown
46,277203,46,9,male,USA,1900-1950
47,277203,47,8,unknown,unknown,unknown
48,277203,48,8,male,USA,1900-1950
49,277203,49,8,male,USA,1900-1950
50,277378,50,7,female,USA,1950-2000
51,277378,51,4,male,USA,1950-2000
52,277378,52,7,female,UK,1950-2000
53,277378,53,6,female,other,1900-1950
54,277378,54,5,female,USA,1950-2000
55,277378,55,5,female,USA,1950-2000
56,277378,56,4,female,USA,1950-2000
57,277427,57,10,male,USA,1950-2000
58,277427,58,7,unknown,unknown,unknown
59,277427,59,9,female,USA,1900-1950
