,User-ID,ISBN,Book-Rating,country
0,276847,0,8,unknown
1,276847,1,10,UK
2,276847,2,10,UK
3,276847,3,10,UK
4,276847,4,10,UK
5,276964,5,10,USA
6,276964,6,9,USA
7,276964,7,8,USA
8,276964,8,10,USA
9,276964,9,8,USA
10,276964,10,7,USA
11,276964,11,8,USA
12,276964,12,8,USA
13,276964,13,9,USA
14,276964,14,10,USA
15,277042,15,8,USA
16,277042,16,7,USA
17,277042,17,8,USA
18,277042,18,9,unknown
19,277042,19,8,USA
20,277042,20,2,USA
21,277157,21,5,USA
22,277157,22,5,USA
23,277157,23,6,USA
24,277157,24,7,USA
25,277157,25,7,USA
26,277157,26,7,USA
27,277157,27,6,USA
28,277157,28,8,USA
29,277157,29,7,USA
30,277157,30,5,USA
31,277157,31,7,USA
32,277157,32,6,USA
33,277157,33,7,USA
34,277157,34,7,USA
35,277195,35,10,USA
36,277195,36,10,UK
37,277195,37,10,USA
38,277195,38,10,USA
39,277195,39,10,USA
40,277195,40,10,USA
41,277195,41,10,USA
42,277195,42,10,USA
43,277195,43,10,USA
44,277203,44,9,unknown
45,277203,45,9,unknown
46,277203,46,9,USA
47,277203,47,8,unknown
48,277203,48,8,USA
49,277203,49,8,USA
50,277378,50,7,USA
51,277378,51,4,USA
52,277378,52,7,UK
53,277378,53,6,other
54,277378,54,5,USA
55,277378,55,5,USA
56,277378,56,4,USA
57,277427,57,10,USA
58,277427,58,7,unknown
59,277427,59,9,USA
60,277427,60,10,other
61,277427,61,8,USA
62,277427,62,8,unknown
63,277427,63,10,USA
64,277427,64,9,other
65,277427,65,8,UK
66,277427,66,9,USA
67,277427,67,9,USA
68,277427,68,9,USA
69,277427,69,9,Canada
70,277427,70,8,USA
71,277427,71,8,USA
72,277427,72,9,UK
73,277427,73,9,USA
74,277427,74,8,USA
75,277427,75,9,USA
76,277427,76,7,USA
77,277427,77,7,USA
78,277427,78,8,unknown
79,277427,79,9,USA
80,277427,80,8,USA
81,277427,81,10,other
82,277427,82,9,USA
83,277427,83,10,USA
84,277427,84,10,USA
85,277427,85,8,other
86,277427,86,10,USA
87,277427,87,6,other
88,277427,88,8,unknown
89,277427,89,8,USA
90,277427,90,9,USA
91,277427,91,10,USA
92,277427,92,10,USA
93,277427,93,9,USA
94,277427,94,9,USA
95,277427,95,8,USA
96,277427,96,8,USA
97,277427,97,10,unknown
98,277427,98,9,UK
99,277427,99,5,UK
100,277427,100,8,unknown
101,277427,101,9,other
102,277427,102,8,other
103,277427,103,9,USA
104,277427,104,9,other
105,277427,105,9,unknown
106,277427,106,8,USA
107,277427,107,10,USA
108,277427,108,10,USA
109,277427,109,10,unknown
110,277427,110,10,unknown
111,277427,111,10,USA
112,277427,112,10,USA
113,277427,113,10,USA
114,277427,114,10,USA
115,277427,115,10,USA
116,277427,116,8,USA
117,277427,117,10,USA
118,277427,118,7,USA
119,277427,119,10,other
120,277427,120,10,unknown
121,277427,121,10,unknown
122,277427,122,10,USA
123,277427,123,7,other
124,277439,124,7,USA
125,277439,125,5,USA
126,277439,24,5,USA
127,277439,126,7,USA
128,277439,127,7,USA
129,277478,128,7,UK
130,277478,129,7,UK
131,277478,130,7,USA
132,277478,131,8,unknown
133,277478,132,10,UK
134,277478,133,8,USA
135,277523,134,10,USA
136,277523,135,10,USA
137,277523,136,10,USA
138,277523,137,10,USA
139,277523,138,10,USA
140,277523,139,10,USA
141,277523,140,10,USA
142,277523,141,10,USA
143,277523,142,10,USA
144,277523,143,10,USA
145,277523,144,10,USA
146,277523,145,10,USA
147,277523,146,10,USA
148,277523,147,10,USA
149,277523,148,10,USA
150,277523,149,10,USA
151,277523,150,10,USA
152,277523,151,10,USA
153,277523,152,10,USA
154,277623,57,5,USA
155,277623,153,9,USA
156,277623,154,9,other
157,277623,155,4,unknown
158,277623,156,8,UK
159,277623,157,8,UK
160,277629,158,8,other
161,277629,159,8,USA
162,277629,74,6,USA
163,277629,160,8,USA
164,277629,161,7,USA
165,277629,162,8,USA
166,277629,163,7,USA
167,277639,164,8,USA
168,277639,165,6,USA
169,277639,166,7,USA
170,277639,167,8,USA
171,277639,168,5,USA
172,277639,169,8,USA
173,277639,170,9,USA
174,277639,171,8,USA
175,277639,172,8,USA
176,277639,173,8,USA
177,277639,174,7,USA
178,277639,175,8,USA
179,277710,176,4,USA
180,277710,177,9,USA
181,277710,178,5,USA
182,277710,146,6,USA
183,277710,179,10,USA
184,277710,180,6,USA
185,277744,181,8,USA
186,277744,182,7,USA
187,277744,183,3,UK
188,277744,184,8,unknown
189,277744,185,5,other
190,277744,186,9,USA
191,277744,187,10,unknown
192,277744,188,8,USA
193,277873,189,10,USA
194,277873,190,5,unknown
195,277873,191,6,USA
196,277873,192,10,unknown
197,277873,193,7,USA
198,277922,194,7,USA
199,277922,195,6,USA
200,277922,196,7,USA
201,277922,197,9,USA
202,277922,198,10,USA
203,277928,199,9,other
204,277928,200,8,Ireland
205,277928,201,10,other
206,277928,202,10,USA
207,277928,203,8,USA
208,277928,204,10,USA
209,277928,205,9,USA
210,277928,206,9,USA
211,277937,207,9,USA
212,277937,208,7,USA
213,277937,209,6,USA
214,277937,210,7,other
215,277937,211,6,USA
216,277937,212,6,unknown
217,277937,213,6,USA
218,277937,214,7,Canada
219,277945,215,6,unknown
220,277945,216,6,USA
221,277945,217,7,USA
222,277945,218,8,Ireland
223,277945,219,7,USA
224,277945,220,7,USA
225,277945,221,7,USA
226,277945,222,7,USA
227,277945,223,7,USA
228,277945,224,7,USA
229,277945,225,7,USA
230,277945,226,8,USA
231,277959,227,8,Canada
232,277959,228,6,USA
233,277959,229,7,USA
234,277959,230,8,unknown
235,277959,231,10,USA
236,277959,232,6,unknown
237,277965,233,5,USA
238,277965,234,10,USA
239,277965,235,10,USA
240,277965,236,8,USA
241,277965,237,7,USA
242,277965,238,8,USA
243,277965,239,9,USA
244,277965,192,9,unknown
245,277965,240,10,USA
246,277965,108,9,USA
247,277965,241,7,USA
248,277965,242,10,USA
249,278007,243,6,USA
250,278007,244,8,USA
251,278007,245,8,USA
252,278007,246,6,USA
253,278007,247,7,USA
254,278007,248,5,USA
255,278026,59,8,USA
256,278026,249,8,USA
257,278026,250,8,USA
258,278026,251,8,USA
259,278026,252,8,UK
260,278026,165,5,USA
261,278026,253,8,USA
262,278026,254,9,USA
263,278026,255,8,USA
264,278026,256,8,USA
265,278026,257,8,USA
266,278026,258,6,USA
267,278026,259,5,USA
268,278026,260,3,other
269,278026,261,8,USA
270,278026,262,8,USA
271,278026,263,8,USA
272,278026,264,5,USA
273,278026,265,8,USA
274,278026,266,6,USA
275,278026,267,8,USA
276,278026,268,8,USA
277,278026,151,7,USA
278,278026,269,5,USA
279,278026,270,7,USA
280,278026,271,6,USA
281,278137,272,7,USA
282,278137,273,9,other
283,278137,274,7,USA
284,278137,275,8,UK
285,278137,276,8,UK
286,278137,277,8,USA
287,278137,278,8,USA
288,278137,279,7,USA
289,278137,280,8,USA
290,278137,281,9,USA
291,278137,282,4,UK
292,278137,283,8,USA
293,278137,284,9,UK
294,278137,285,8,USA
295,278137,152,9,USA
296,278137,286,8,USA
297,278188,287,8,USA
298,278188,288,7,USA
299,278188,289,6,USA
300,278188,290,7,USA
301,278188,291,4,Ireland
302,278188,292,8,USA
303,278188,293,9,Ireland
304,278188,195,9,USA
305,278188,294,9,USA
306,278188,295,8,USA
307,278188,296,7,USA
308,278188,297,6,USA
309,278188,298,8,USA
310,278188,299,7,USA
311,278194,300,10,other
312,278194,301,8,USA
313,278194,302,7,UK
314,278194,303,5,USA
315,278194,304,7,USA
316,278194,305,9,USA
317,278194,306,5,UK
318,278194,307,7,UK
319,278194,308,4,USA
320,278194,309,9,USA
321,278194,144,7,USA
322,278194,310,5,Ireland
323,278194,87,8,other
324,278194,311,4,USA
325,278194,266,6,USA
326,278194,312,8,USA
327,278194,313,9,USA
328,278194,314,6,USA
329,278202,315,3,USA
330,278202,316,2,USA
331,278202,317,4,unknown
332,278202,318,9,USA
333,278202,319,3,USA
334,278202,320,3,USA
335,278202,321,3,unknown
336,278202,322,1,USA
337,278202,323,8,USA
338,278202,324,10,USA
339,278202,325,7,USA
340,278202,326,8,USA
341,278221,327,7,USA
342,278221,328,7,USA
343,278221,329,9,USA
344,278221,330,8,USA
345,278221,331,8,USA
346,278221,285,9,USA
347,278221,332,8,USA
348,278356,333,9,other
349,278356,334,8,unknown
350,278356,335,7,USA
351,278356,336,8,other
352,278356,337,9,USA
353,278356,338,8,UK
354,278356,339,10,UK
355,278356,340,10,UK
356,278356,341,10,UK
357,278356,342,8,USA
358,278390,343,8,USA
359,278390,344,7,USA
360,278390,345,7,USA
361,278390,346,7,USA
362,278390,347,4,USA
363,278390,348,7,unknown
364,278390,349,8,USA
365,278390,350,9,Canada
366,278390,127,7,USA
367,278390,312,10,USA
368,278390,351,7,USA
369,278390,352,9,USA
370,278418,353,7,USA
371,278418,354,7,other
372,278418,355,7,other
373,278418,356,10,unknown
374,278418,357,8,USA
375,278418,358,5,USA
376,278418,359,5,USA
377,278418,360,7,USA
378,278418,361,7,USA
379,278418,362,10,unknown
380,278418,363,7,other
381,278418,364,7,USA
382,278418,365,9,USA
383,278418,366,6,unknown
384,278418,265,8,USA
385,278418,367,8,USA
386,278418,368,9,USA
387,278418,369,6,USA
388,278418,370,5,USA
389,278418,371,7,USA
390,278418,372,6,USA
