,count,pop_count,user_hist,pop_fraq,pop_item_fraq
133905,7,5,7,0.7142857142857143,0.008965083359547028
113279,7,5,7,0.7142857142857143,0.004381431717071856
273813,14,10,14,0.7142857142857143,0.007257448433919021
228311,14,10,14,0.7142857142857143,0.010425560598570981
34988,7,5,7,0.7142857142857143,0.006156473284500966
98988,7,5,7,0.7142857142857143,0.005077967015683279
103467,7,5,7,0.7142857142857143,0.003662427537860064
136136,7,5,7,0.7142857142857143,0.004291556194670382
35845,7,5,7,0.7142857142857143,0.0031007055228508516
267356,7,5,7,0.7142857142857143,0.007976452613130814
115679,7,5,7,0.7142857142857143,0.004336493955871118
8234,14,10,14,0.7142857142857143,0.005808205635195255
5728,7,5,7,0.7142857142857143,0.0036174897766593265
235543,7,5,7,0.7142857142857143,0.013391452837819617
267326,7,5,7,0.7142857142857143,0.004898215970880331
138018,7,5,7,0.7142857142857143,0.005235249179885858
151107,7,5,7,0.7142857142857143,0.006178942165101335
136396,7,5,7,0.7142857142857143,0.006089066642699862
59820,7,5,7,0.7142857142857143,0.00894261447894666
94362,7,5,7,0.7142857142857143,0.005370062463488069
80690,7,5,7,0.7142857142857143,0.0063137554487035456
248138,7,5,7,0.7142857142857143,0.0035500831348582213
258160,7,5,7,0.7142857142857143,0.006358693209904282
215256,7,5,7,0.7142857142857143,0.007616950523524917
80105,7,5,7,0.7142857142857143,0.006291286568103177
179688,7,5,7,0.7142857142857143,0.005302655821686964
81324,7,5,7,0.7142857142857143,0.011886037837594931
258777,7,5,7,0.7142857142857143,0.002718734552644587
216495,7,5,7,0.7142857142857143,0.00685300858311239
82673,7,5,7,0.7142857142857143,0.0054374691052891735
177295,14,10,14,0.7142857142857143,0.00669572641890981
51359,7,5,7,0.7142857142857143,0.008246079180335235
83166,7,5,7,0.7142857142857143,0.016896598211477105
83252,7,5,7,0.7142857142857143,0.013031950748213724
176903,7,5,7,0.7142857142857143,0.0046510582842762774
83775,7,5,7,0.7142857142857143,0.00804385925493192
251019,7,5,7,0.7142857142857143,0.0036624275378600636
218514,7,5,7,0.7142857142857143,0.005909315597896913
174375,7,5,7,0.7142857142857143,0.008223610299734868
