,count,pop_count,user_hist,pop_fraq,pop_item_fraq
236754,9,3,9,0.3333333333333333,0.00312816748802908
157127,6,2,6,0.3333333333333333,0.002647583097410087
16383,6,2,6,0.3333333333333333,0.0021233092167348222
33200,9,3,9,0.3333333333333333,0.0025689420153087975
15418,33,11,33,0.3333333333333333,0.002740522558075248
236267,6,2,6,0.3333333333333333,0.0030407885079165357
141958,21,7,21,0.3333333333333333,0.0038271993289294335
109605,9,3,9,0.3333333333333333,0.0031456432840515887
265827,6,2,6,0.3333333333333333,0.0036699171647268537
139206,6,2,6,0.3333333333333333,0.0034864213064905105
30120,6,2,6,0.3333333333333333,0.0030932158959840624
162155,12,4,12,0.3333333333333333,0.003289818601237286
251721,6,2,6,0.3333333333333333,0.0039058404110307227
240663,6,2,6,0.3333333333333333,0.0029359337317814826
34987,9,3,9,0.3333333333333333,0.0044213763936947325
22062,6,2,6,0.3333333333333333,0.0037485582468281425
22167,6,2,6,0.3333333333333333,0.003879626716996959
37605,6,2,6,0.3333333333333333,0.0035650623885918
95509,9,3,9,0.3333333333333333,0.002324280870993674
37623,12,4,12,0.3333333333333333,0.0036961308587606166
162849,6,2,6,0.3333333333333333,0.002097095522701059
145619,18,6,18,0.3333333333333333,0.005898081157596728
104144,48,16,48,0.3333333333333333,0.0029523172905525853
138138,6,2,6,0.3333333333333333,0.0028310789556464295
96019,6,2,6,0.3333333333333333,0.0024378735451399806
14897,6,2,6,0.3333333333333333,0.0072087658592848896
31144,6,2,6,0.3333333333333333,0.0028310789556464295
50749,9,3,9,0.3333333333333333,0.002394184055083709
33980,6,2,6,0.3333333333333333,0.0018873859704309534
216501,6,2,6,0.3333333333333333,0.004849533396246199
254971,6,2,6,0.3333333333333333,0.002621369403376324
251890,6,2,6,0.3333333333333333,0.004272832127503409
9908,21,7,21,0.3333333333333333,0.0053401039560209106
31652,6,2,6,0.3333333333333333,0.005452448359022754
20388,6,2,6,0.3333333333333333,0.0024640872391737444
263107,12,4,12,0.3333333333333333,0.002975254272832127
240609,6,2,6,0.3333333333333333,0.0028310789556464304
136291,6,2,6,0.3333333333333333,0.0022805913809374016
253602,9,3,9,0.3333333333333333,0.0038271993289294326
163612,12,4,12,0.3333333333333333,0.00542623466498899
253556,12,4,12,0.3333333333333333,0.0026606899444269693
15819,12,4,12,0.3333333333333333,0.0038403061759463147
163433,9,3,9,0.3333333333333333,0.005679633707315368
31431,6,2,6,0.3333333333333333,0.0022543776869036387
215071,9,3,9,0.3333333333333333,0.008248575722624166
252827,15,5,15,0.3333333333333333,0.003229527104959631
215709,6,2,6,0.3333333333333333,0.0020446681346335325
137437,6,2,6,0.3333333333333333,0.004167977351368355
252654,9,3,9,0.3333333333333333,0.0017650553982733914
233436,6,2,6,0.3333333333333333,0.002201950298836112
37573,6,2,6,0.3333333333333333,0.003853413022963196
151991,9,3,9,0.3333333333333333,0.006308762364125686
255814,12,4,12,0.3333333333333333,0.0031325364370347066
41123,6,2,6,0.3333333333333333,0.002542728321275034
134508,12,4,12,0.3333333333333333,0.004272832127503408
161533,6,2,6,0.3333333333333333,0.004299045821537171
256298,6,2,6,0.3333333333333333,0.002568942015308797
161265,9,3,9,0.3333333333333333,0.004858271294257453
38802,6,2,6,0.3333333333333333,0.004141763657334592
153322,9,3,9,0.3333333333333333,0.0026213694033763242
131099,9,3,9,0.3333333333333333,0.002621369403376324
249650,9,3,9,0.3333333333333333,0.0023242808709936736
220892,6,2,6,0.3333333333333333,0.00558351682919157
10668,9,3,9,0.3333333333333333,0.0019747649505434967
220911,6,2,6,0.3333333333333333,0.004010695187165776
135895,9,3,9,0.3333333333333333,0.0023417566670161827
47856,15,5,15,0.3333333333333333,0.002443116283946734
264355,9,3,9,0.3333333333333333,0.005102932438572577
135869,6,2,6,0.3333333333333333,0.0018349585823634268
30607,6,2,6,0.3333333333333333,0.0017301038062283735
102642,12,4,12,0.3333333333333333,0.00380098563489567
24934,6,2,6,0.3333333333333333,0.005295166194820174
248547,6,2,6,0.3333333333333333,0.0022543776869036387
144727,6,2,6,0.3333333333333333,0.00558351682919157
38556,27,9,27,0.3333333333333333,0.003699043491431036
241885,9,3,9,0.3333333333333333,0.004596134353919821
11120,6,2,6,0.3333333333333333,0.0022543776869036387
148632,6,2,6,0.3333333333333333,0.0027786515675789036
36554,15,5,15,0.3333333333333333,0.0027576806123518916
219008,6,2,6,0.3333333333333333,0.002542728321275034
