,User-ID,ISBN,Book-Rating,gender
0,276847,0,8,unknown
1,276847,1,10,female
2,276847,2,10,female
3,276847,3,10,female
4,276847,4,10,female
5,276964,5,10,male
6,276964,6,9,male
7,276964,7,8,male
8,276964,8,10,male
9,276964,9,8,male
10,276964,10,7,male
11,276964,11,8,male
12,276964,12,8,female
13,276964,13,9,female
14,276964,14,10,female
15,277042,15,8,male
16,277042,16,7,male
17,277042,17,8,male
18,277042,18,9,unknown
19,277042,19,8,male
20,277042,20,2,male
21,277157,21,5,male
22,277157,22,5,male
23,277157,23,6,male
24,277157,24,7,male
25,277157,25,7,male
26,277157,26,7,male
27,277157,27,6,male
28,277157,28,8,male
29,277157,29,7,male
30,277157,30,5,female
31,277157,31,7,male
32,277157,32,6,male
33,277157,33,7,female
34,277157,34,7,male
35,277195,35,10,male
36,277195,36,10,female
37,277195,37,10,male
38,277195,38,10,female
39,277195,39,10,female
40,277195,40,10,female
41,277195,41,10,male
42,277195,42,10,female
43,277195,43,10,female
44,277203,44,9,unknown
45,277203,45,9,unknown
46,277203,46,9,male
47,277203,47,8,unknown
48,277203,48,8,male
49,277203,49,8,male
50,277378,50,7,female
51,277378,51,4,male
52,277378,52,7,female
53,277378,53,6,female
54,277378,54,5,female
55,277378,55,5,female
56,277378,56,4,female
57,277427,57,10,male
58,277427,58,7,unknown
59,277427,59,9,female
60,277427,60,10,male
61,277427,61,8,male
62,277427,62,8,unknown
63,277427,63,10,male
64,277427,64,9,male
65,277427,65,8,female
66,277427,66,9,female
67,277427,67,9,male
68,277427,68,9,male
69,277427,69,9,female
70,277427,70,8,male
71,277427,71,8,male
72,277427,72,9,male
73,277427,73,9,male
74,277427,74,8,male
75,277427,75,9,male
76,277427,76,7,female
77,277427,77,7,male
78,277427,78,8,unknown
79,277427,79,9,male
80,277427,80,8,female
81,277427,81,10,male
82,277427,82,9,male
83,277427,83,10,male
84,277427,84,10,male
85,277427,85,8,female
86,277427,86,10,male
87,277427,87,6,female
88,277427,88,8,unknown
89,277427,89,8,male
90,277427,90,9,female
91,277427,91,10,female
92,277427,92,10,male
93,277427,93,9,female
94,277427,94,9,male
95,277427,95,8,male
96,277427,96,8,female
97,277427,97,10,unknown
98,277427,98,9,male
99,277427,99,5,male
100,277427,100,8,unknown
101,277427,101,9,male
102,277427,102,8,male
103,277427,103,9,female
104,277427,104,9,male
105,277427,105,9,unknown
106,277427,106,8,female
107,277427,107,10,female
108,277427,108,10,female
109,277427,109,10,male
110,277427,110,10,male
111,277427,111,10,male
112,277427,112,10,male
113,277427,113,10,male
114,277427,114,10,male
115,277427,115,10,male
116,277427,116,8,male
117,277427,117,10,male
118,277427,118,7,male
119,277427,119,10,male
120,277427,120,10,unknown
121,277427,121,10,unknown
122,277427,122,10,female
123,277427,123,7,male
124,277439,124,7,female
125,277439,125,5,female
126,277439,24,5,male
127,277439,126,7,male
128,277439,127,7,male
129,277478,128,7,male
130,277478,129,7,female
131,277478,130,7,female
132,277478,131,8,unknown
133,277478,132,10,male
134,277478,133,8,male
135,277523,134,10,female
136,277523,135,10,male
137,277523,136,10,male
138,277523,137,10,male
139,277523,138,10,male
140,277523,139,10,female
141,277523,140,10,male
142,277523,141,10,male
143,277523,142,10,male
144,277523,143,10,female
145,277523,144,10,male
146,277523,145,10,male
147,277523,146,10,male
148,277523,147,10,female
149,277523,148,10,female
150,277523,149,10,female
151,277523,150,10,female
152,277523,151,10,female
153,277523,152,10,male
154,277623,57,5,male
155,277623,153,9,male
156,277623,154,9,male
157,277623,155,4,unknown
158,277623,156,8,male
159,277623,157,8,male
160,277629,158,8,female
161,277629,159,8,male
162,277629,74,6,male
163,277629,160,8,male
164,277629,161,7,male
165,277629,162,8,male
166,277629,163,7,male
167,277639,164,8,male
168,277639,165,6,male
169,277639,166,7,male
170,277639,167,8,male
171,277639,168,5,female
172,277639,169,8,male
173,277639,170,9,male
174,277639,171,8,female
175,277639,172,8,male
176,277639,173,8,male
177,277639,174,7,male
178,277639,175,8,male
179,277710,176,4,male
180,277710,177,9,male
181,277710,178,5,male
182,277710,146,6,male
183,277710,179,10,male
184,277710,180,6,male
185,277744,181,8,male
186,277744,182,7,male
187,277744,183,3,male
188,277744,184,8,unknown
189,277744,185,5,male
190,277744,186,9,male
191,277744,187,10,unknown
192,277744,188,8,female
193,277873,189,10,male
194,277873,190,5,unknown
195,277873,191,6,female
196,277873,192,10,unknown
197,277873,193,7,female
198,277922,194,7,male
199,277922,195,6,male
200,277922,196,7,female
201,277922,197,9,male
202,277922,198,10,male
203,277928,199,9,male
204,277928,200,8,female
205,277928,201,10,male
206,277928,202,10,female
207,277928,203,8,female
208,277928,204,10,female
209,277928,205,9,male
210,277928,206,9,male
211,277937,207,9,female
212,277937,208,7,female
213,277937,209,6,female
214,277937,210,7,female
215,277937,211,6,female
216,277937,212,6,female
217,277937,213,6,female
218,277937,214,7,female
219,277945,215,6,unknown
220,277945,216,6,female
221,277945,217,7,female
222,277945,218,8,female
223,277945,219,7,female
224,277945,220,7,female
225,277945,221,7,female
226,277945,222,7,female
227,277945,223,7,female
228,277945,224,7,female
229,277945,225,7,female
230,277945,226,8,female
231,277959,227,8,male
232,277959,228,6,female
233,277959,229,7,female
234,277959,230,8,unknown
235,277959,231,10,female
236,277959,232,6,unknown
237,277965,233,5,female
238,277965,234,10,male
239,277965,235,10,male
240,277965,236,8,female
241,277965,237,7,female
242,277965,238,8,female
243,277965,239,9,male
244,277965,192,9,unknown
245,277965,240,10,male
246,277965,108,9,female
247,277965,241,7,male
248,277965,242,10,male
249,278007,243,6,female
250,278007,244,8,male
251,278007,245,8,female
252,278007,246,6,male
253,278007,247,7,female
254,278007,248,5,female
255,278026,59,8,female
256,278026,249,8,female
257,278026,250,8,female
258,278026,251,8,male
259,278026,252,8,female
260,278026,165,5,male
261,278026,253,8,female
262,278026,254,9,male
263,278026,255,8,female
264,278026,256,8,male
265,278026,257,8,male
266,278026,258,6,female
267,278026,259,5,female
268,278026,260,3,male
269,278026,261,8,female
270,278026,262,8,male
271,278026,263,8,female
272,278026,264,5,male
273,278026,265,8,female
274,278026,266,6,female
275,278026,267,8,female
276,278026,268,8,female
277,278026,151,7,female
278,278026,269,5,male
279,278026,270,7,female
280,278026,271,6,female
281,278137,272,7,male
282,278137,273,9,female
283,278137,274,7,female
284,278137,275,8,female
285,278137,276,8,female
286,278137,277,8,male
287,278137,278,8,male
288,278137,279,7,male
289,278137,280,8,female
290,278137,281,9,female
291,278137,282,4,female
292,278137,283,8,male
293,278137,284,9,male
294,278137,285,8,female
295,278137,152,9,male
296,278137,286,8,male
297,278188,287,8,female
298,278188,288,7,female
299,278188,289,6,female
300,278188,290,7,female
301,278188,291,4,female
302,278188,292,8,female
303,278188,293,9,female
304,278188,195,9,male
305,278188,294,9,male
