,count
121,0.059017941454202076
68,0.04359458608750393
40,0.039817437834435004
413,0.03903053194837897
443,0.037299338999055714
233,0.034623858986465215
35,0.03383695310040919
975,0.033050047214353166
226,0.033050047214353166
49,0.032420522505508344
429,0.029745042492917848
551,0.028328611898016998
542,0.028328611898016998
19,0.02675480012590494
612,0.026597418948693736
265,0.025810513062637708
124,0.02470884482215927
643,0.023764557758892038
155,0.023607176581680833
449,0.023449795404469627
501,0.023449795404469627
620,0.022820270695624804
869,0.022033364809568776
310,0.022033364809568776
721,0.02187598363235757
498,0.021718602455146365
911,0.02156122127793516
220,0.021403840100723954
331,0.021246458923512748
600,0.021246458923512748
507,0.021246458923512748
1151,0.021246458923512748
368,0.020931696569090337
1110,0.020931696569090337
228,0.020931696569090337
725,0.020931696569090337
178,0.020616934214667926
410,0.020302171860245515
1137,0.020302171860245515
977,0.02014479068303431
60,0.019987409505823103
164,0.019987409505823103
5,0.019515265974189486
1463,0.01935788479697828
409,0.01935788479697828
165,0.01904312244255587
75,0.01904312244255587
605,0.018885741265344664
1441,0.018570978910922253
395,0.01825621655649984
674,0.018098835379288636
311,0.01794145420207743
328,0.017784073024866225
65,0.01762669184765502
1467,0.01762669184765502
276,0.01762669184765502
391,0.017469310670443813
136,0.017311929493232608
201,0.017154548316021402
525,0.0169971671388102
1648,0.016839785961598994
1302,0.016839785961598994
1350,0.01668240478438779
184,0.01668240478438779
189,0.016525023607176583
154,0.016525023607176583
718,0.016525023607176583
676,0.016525023607176583
34,0.016367642429965377
270,0.016367642429965377
1583,0.016210261252754172
506,0.01589549889833176
472,0.015738117721120555
515,0.015738117721120555
989,0.015738117721120555
448,0.015738117721120555
1180,0.015580736543909348
424,0.015580736543909348
1597,0.015423355366698142
374,0.015265974189486938
1404,0.015265974189486938
505,0.015108593012275733
18,0.014951211835064527
1100,0.014951211835064527
630,0.014951211835064527
435,0.014793830657853321
1020,0.014793830657853321
132,0.014793830657853321
41,0.014636449480642116
16,0.014636449480642116
1163,0.014636449480642116
590,0.01447906830343091
171,0.01447906830343091
641,0.01447906830343091
508,0.014321687126219704
985,0.014321687126219704
447,0.014321687126219704
50,0.014321687126219704
579,0.014321687126219704
421,0.014164305949008499
742,0.014164305949008499
625,0.014164305949008499
259,0.014006924771797293
689,0.013849543594586088
438,0.013849543594586088
821,0.013849543594586088
1091,0.013692162417374882
53,0.013692162417374882
673,0.013534781240163676
329,0.01337740006295247
1352,0.01337740006295247
445,0.01337740006295247
1829,0.01337740006295247
