user_id,M_global_R_APC
3216387,0.17300731
29375329,0.17308095
39404173,0.173091
47259854,0.17312404
39160276,0.17313878
26473025,0.17328464
39963403,0.17331624
5049899,0.17331789
48196138,0.17333651
2723523,0.17336425
32229127,0.17338542
30982706,0.17342205
2423052,0.1734321
38395587,0.17344709
25864609,0.1734557
38249154,0.17348823
21072247,0.17349547
2598785,0.17354948
29029044,0.17355093
42356754,0.17358352
32431765,0.17358512
49950458,0.1735922
24002856,0.17362773
12576202,0.17366786
42955537,0.17369332
14991110,0.17371711
10998498,0.17372919
2004527,0.17374272
31226440,0.17376331
9532218,0.17378787
31114891,0.17379562
9509918,0.17382631
9490649,0.1738676
35248519,0.17389407
27305000,0.17389998
47130036,0.1739459
8585906,0.1739515
29265338,0.17395412
1073613,0.17397853
4261363,0.17404666
22703671,0.1740998
32860010,0.17411774
13892655,0.17416612
28582687,0.17417182
9008104,0.17418554
28106993,0.17420048
15379844,0.17427403
8322125,0.17428991
27750180,0.17431495
35247955,0.17432018
10579751,0.17432632
33964840,0.17433592
47822581,0.17434642
23956994,0.17435224
47987895,0.17437706
8891985,0.17439618
22537701,0.1744573
37583798,0.17448986
11072346,0.1744961
27207119,0.17450327
5905128,0.17451794
20537554,0.17452912
39315141,0.17453708
11958148,0.17461335
17344870,0.17462343
47693702,0.1746469
30126710,0.17466528
11655104,0.17469716
4480185,0.17471962
9693153,0.17476247
4960036,0.17476255
42529977,0.17478903
14911355,0.17483025
15935171,0.17485816
4703201,0.17486197
39834266,0.17487821
14357086,0.17490121
2500411,0.17492094
4642552,0.17492227
13457002,0.1749392
48890996,0.17494538
26690293,0.17495069
20226720,0.17495613
5475075,0.17496713
11317783,0.17497578
12501749,0.17497626
17848753,0.17499752
48698284,0.17502419
4151557,0.17503825
41596821,0.17503889
37820150,0.17504694
38551852,0.17507876
37905963,0.17509463
27587240,0.17509515
41107243,0.17511166
46492684,0.17511871
5531031,0.17515506
10910368,0.17515887
33928176,0.17516523
13272667,0.17522804
7396109,0.17524094
16195682,0.17526578
16980332,0.17526681
20753612,0.17527078
26318544,0.17527109
10049049,0.17528811
40968364,0.17529699
32624740,0.17533746
12135791,0.17534932
31427440,0.17537583
39321360,0.17537775
41133627,0.1753789
37665145,0.17538459
12442274,0.17539014
2463639,0.17544734
29859491,0.17549544
48082575,0.17549975
45797854,0.1755148
21129344,0.17558041
16602726,0.17567395
47943103,0.17567473
7157660,0.17570615
8404128,0.17572214
31891104,0.17572921
4976129,0.17573192
31929387,0.17573392
23573988,0.17575829
41974499,0.17579476
47185982,0.17579675
48577725,0.17579903
41758763,0.17581047
12435872,0.1758148
37756453,0.1758198
4563679,0.17585796
2879940,0.17590241
2982191,0.17592349
5301900,0.17595587
17275687,0.1759847
3747618,0.17600075
9200407,0.17604566
8019531,0.17606345
17366086,0.17610067
7142980,0.17612468
38474676,0.17613776
4234048,0.17614523
49702186,0.17617787
14869243,0.17617811
11815209,0.17618375
48431343,0.17620213
21157436,0.17622416
16550394,0.17623078
7235801,0.17624863
4622128,0.17631786
41872921,0.17631787
10434631,0.17632618
3150954,0.17634037
20807013,0.17635137
10419623,0.17635578
3630175,0.176368
36838877,0.17636888
48432840,0.17639271
12306207,0.17641633
13158829,0.17643548
26151372,0.17646136
6326459,0.17647398
30659711,0.17647611
16224937,0.17647961
4642817,0.17650388
6107640,0.17650597
3196429,0.17652617
36545108,0.17653974
36226445,0.17655716
7707627,0.17659509
47229893,0.17660102
5187520,0.17660437
7383186,0.17662733
32855400,0.17668263
10589034,0.17670688
16306985,0.17671573
49565088,0.17672806
33497889,0.17675135
7226955,0.17680055
43013734,0.17680096
49001500,0.17680969
20975080,0.1768361
20669863,0.1768491
34498537,0.17686322
25192924,0.17687532
21984293,0.17690573
27624624,0.1769066
49411389,0.17690844
9852180,0.17691652
5182651,0.17693521
38962872,0.17700464
16781899,0.17701046
2815913,0.17701317
8602481,0.17703243
12415009,0.17707111
8395038,0.17708515
2137663,0.17709141
34445112,0.17710751
21734456,0.17712842
26006291,0.1771289
46386761,0.17713634
16592373,0.17715559
40217971,0.17716392
48806760,0.17716402
7785840,0.17716913
48066499,0.17717578
7590351,0.17719389
32730870,0.17722654
47871142,0.1772416
9736592,0.177252
47695325,0.17725331
4801210,0.17725889
19814305,0.1773377
40351516,0.17734428
29200471,0.17734899
31002173,0.1773492
41201466,0.17735253
34205809,0.17735746
12164583,0.17737497
12512101,0.1773879
35980365,0.17741666
14591393,0.17743634
16332887,0.17744535
4427996,0.17745424
6691974,0.17746265
43114303,0.17746313
18904839,0.17749771
8338411,0.17749976
48970052,0.177511
2670840,0.17751506
39179794,0.17752178
2790267,0.17752847
32152459,0.17756605
5602100,0.17757148
47113806,0.1775723
13138949,0.1775966
37432505,0.17762639
8122101,0.17762926
6452602,0.17765738
6054796,0.177664
12816106,0.17769051
35334453,0.17771863
45253106,0.17773819
33154327,0.17774251
33427842,0.17780167
38445765,0.17780504
13438873,0.17781012
29198248,0.17783912
5855735,0.17784038
2486992,0.17784177
49598340,0.17784853
20022503,0.17785167
46914175,0.17786534
11549202,0.17787265
21074739,0.17787541
15019699,0.17791033
11524571,0.17798539
18145595,0.1780026
42608579,0.17800443
36730297,0.1780119
